table_id,experiment_axis,setting,method,sr,sr_percent,sr_numerator,sr_denominator,expected_sr_denominator,ps,ps_sum,ps_count,complete_samples,expected_samples,complete
table1,scale,S3,robostate,0.533333,53.33,8,15,15,8.25,66,8,5,5,True
table1,scale,S3,saycan,,,0,0,15,,0,0,0,5,False
table1,scale,S3,llm_planner,,,0,0,15,,0,0,0,5,False
table1,scale,S3,exrap,,,0,0,15,,0,0,0,5,False
table1,scale,S3,flare,,,0,0,15,,0,0,0,5,False
table1,scale,S5,robostate,0.28,28.0,7,25,25,8.0,56,7,5,5,True
table1,scale,S5,saycan,,,0,0,25,,0,0,0,5,False
table1,scale,S5,llm_planner,,,0,0,25,,0,0,0,5,False
table1,scale,S5,exrap,,,0,0,25,,0,0,0,5,False
table1,scale,S5,flare,,,0,0,25,,0,0,0,5,False
table1,scale,S7,robostate,0.257143,25.71,9,35,35,12.8889,116,9,5,5,True
table1,scale,S7,saycan,,,0,0,35,,0,0,0,5,False
table1,scale,S7,llm_planner,,,0,0,35,,0,0,0,5,False
table1,scale,S7,exrap,,,0,0,35,,0,0,0,5,False
table1,scale,S7,flare,,,0,0,35,,0,0,0,5,False
table1,instruction_type,sentence_wise,robostate,0.571429,57.14,4,7,7,4.25,17,4,7,7,True
table1,instruction_type,sentence_wise,saycan,,,0,0,7,,0,0,0,7,False
table1,instruction_type,sentence_wise,llm_planner,,,0,0,7,,0,0,0,7,False
table1,instruction_type,sentence_wise,exrap,,,0,0,7,,0,0,0,7,False
table1,instruction_type,sentence_wise,flare,,,0,0,7,,0,0,0,7,False
table1,instruction_type,summarized,robostate,0.714286,71.43,5,7,7,3.6,18,5,7,7,True
table1,instruction_type,summarized,saycan,,,0,0,7,,0,0,0,7,False
table1,instruction_type,summarized,llm_planner,,,0,0,7,,0,0,0,7,False
table1,instruction_type,summarized,exrap,,,0,0,7,,0,0,0,7,False
table1,instruction_type,summarized,flare,,,0,0,7,,0,0,0,7,False
table1,instruction_type,vague,robostate,0.0,0.0,0,7,7,,0,0,7,7,True
table1,instruction_type,vague,saycan,,,0,0,7,,0,0,0,7,False
table1,instruction_type,vague,llm_planner,,,0,0,7,,0,0,0,7,False
table1,instruction_type,vague,exrap,,,0,0,7,,0,0,0,7,False
table1,instruction_type,vague,flare,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,low,robostate,0.571429,57.14,4,7,7,13.25,53,4,7,7,True
table1,dynamic_difficulty,low,saycan,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,low,llm_planner,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,low,exrap,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,low,flare,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,medium,robostate,0.428571,42.86,3,7,7,14.3333,43,3,7,7,True
table1,dynamic_difficulty,medium,saycan,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,medium,llm_planner,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,medium,exrap,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,medium,flare,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,high,robostate,0.285714,28.57,2,7,7,21.5,43,2,7,7,True
table1,dynamic_difficulty,high,saycan,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,high,llm_planner,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,high,exrap,,,0,0,7,,0,0,0,7,False
table1,dynamic_difficulty,high,flare,,,0,0,7,,0,0,0,7,False
