scenario_id,category,subclass,success,completion_step,evidence_type,evidence_path,source_config,log_candidates
G1_01,G,G1,True,6,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G1_01/run_G1_01.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G1_01.json,2
G1_02,G,G1,True,1,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G1_02.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G1_02.json,1
G1_03,G,G1,True,1,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G1_03/run_G1_03.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G1_03.json,2
G1_04,G,G1,True,2,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G1_04/run_G1_04.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G1_04.json,2
G1_05,G,G1,True,8,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G1_05/run_G1_05.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G1_05.json,2
G2_06,G,G2,True,3,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G2_06/run_G2_06.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G2_06.json,2
G2_07,G,G2,True,5,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G2_07/run_G2_07.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G2_07.json,2
G2_08,G,G2,True,2,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G2_08.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G2_08.json,1
G2_09,G,G2,True,9,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G2_09/run_G2_09.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G2_09.json,2
G2_10,G,G2,True,1,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G2_10/run_G2_10.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G2_10.json,2
G3_11,G,G3,True,6,on_ask_policy,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G3_11/run_G3_11.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G3_11.json,2
G3_12,G,G3,True,0,on_ask_policy,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G3_12/run_G3_12.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G3_12.json,2
G3_13,G,G3,True,7,on_ask_policy,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G3_13/run_G3_13.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G3_13.json,2
G3_14,G,G3,True,5,on_ask_policy,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G3_14/run_G3_14.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G3_14.json,2
G3_15,G,G3,True,8,on_ask_policy,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G3_15/run_G3_15.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G3_15.json,2
G4_16,G,G4,True,7,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G4_16/run_G4_16.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G4_16.json,2
G4_17,G,G4,True,14,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G4_17/run_G4_17.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G4_17.json,2
G4_18,G,G4,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G4_18.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G4_18.json,1
G4_19,G,G4,True,2,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G4_19/run_G4_19.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G4_19.json,2
G4_20,G,G4,True,5,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/G4_20/run_G4_20.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/g_class/G4_20.json,2
M1_01,M,M1,True,4,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M1_01/run_M1_01.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M1_01.json,2
M1_02,M,M1,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M1_02/run_M1_02.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M1_02.json,3
M1_03,M,M1,True,6,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M1_03/run_M1_03.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M1_03.json,2
M1_04,M,M1,True,8,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M1_04/run_M1_04.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M1_04.json,2
M1_05,M,M1,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M1_05/run_M1_05.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M1_05.json,3
M2_06,M,M2,True,3,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M2_06/run_M2_06.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_06.json,3
M2_07,M,M2,True,2,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M2_07/run_M2_07.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_07.json,2
M2_08,M,M2,True,1,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M2_08/run_M2_08.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_08.json,2
M2_09,M,M2,True,6,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M2_09/run_M2_09.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_09.json,3
M2_10,M,M2,True,1,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M2_10/run_M2_10.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M2_10.json,3
M3_11,M,M3,True,15,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M3_11/run_M3_11.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_11.json,3
M3_12,M,M3,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_M3_12.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_12.json,1
M3_13,M,M3,True,10,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M3_13/run_M3_13.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_13.json,3
M3_14,M,M3,True,10,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M3_14/run_M3_14.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_14.json,3
M3_15,M,M3,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_M3_15.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M3_15.json,1
