table_id,profile,module,method,sr,sr_percent,sr_numerator,sr_denominator,ps,ps_sum,ps_count,GoalAlign,GoalAlign_numerator,GoalAlign_denominator,GoalAlign_coverage,SlotID,SlotID_numerator,SlotID_denominator,SlotID_coverage,Halluc,Halluc_numerator,Halluc_denominator,Halluc_coverage,manual_complete,complete
table3,full,full,robostate,0.866667,86.67,52,60,5.0192,261.0,52,87.5,21,24,20/20,100.0,14,14,20/20,0.0,0,104,17/20,True,True
table3,without_goal_reasoning,goal,robostate,0.283333,28.33,17,60,7.4118,126.0,17,69.57,16,23,19/20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,True
table3,without_intention,goal,robostate,0.266667,26.67,16,60,6.625,106.0,16,83.33,20,24,20/20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,True
table3,without_parameter_binding,goal,robostate,0.316667,31.67,19,60,6.5789,125.0,19,69.57,16,23,19/20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,True
table3,without_memory,memory,robostate,0.116667,11.67,7,60,3.2857,23.0,7,n/a,n/a,n/a,n/a,20.0,2,10,18/20,n/a,n/a,n/a,n/a,True,True
table3,without_memory_structure,memory,robostate,0.216667,21.67,13,60,5.7692,75.0,13,n/a,n/a,n/a,n/a,75.0,9,12,18/20,n/a,n/a,n/a,n/a,True,True
table3,without_state_alignment,memory,robostate,0.433333,43.33,26,60,4.5,117.0,26,n/a,n/a,n/a,n/a,100.0,14,14,20/20,n/a,n/a,n/a,n/a,True,True
table3,without_stg_planning,stg,robostate,0.333333,33.33,20,60,5.4,108.0,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0,106,16/20,True,True
table3,without_stg_construction,stg,robostate,0.516667,51.67,31,60,6.6129,205.0,31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0,127,17/20,True,True
table3,without_path_merging,stg,robostate,0.383333,38.33,23,60,5.5217,127.0,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,True
